Company Name,Portfolio,FR_Dividend Pay Out Ratio(%),FR_PBIDTM (%),FR_PATM (%),FR_ROA (%),FR_ROE (%),FR_ROCE (%),FR_Asset Turnover(x),FR_Sales/Working Capital (x),FR_Net Sales Growth(%),FR_Core EBITDA Growth(%),Shareprice_Appriciation
NBCC (India) Ltd.,Banking,41.47966252,7.769284411,4.997568815,5.405351671,20.22302212,31.14298184,1.081596246,4.29506072,32.42219756,3.69676515,37.19706633
PC Jeweller Ltd.,Banking,15.06782771,11.06566693,5.452252568,7.620540379,18.1337936,25.95798751,1.397686605,3.16837018,14.80739725,2.371331214,14.37183176
Phillips Carbon Black Ltd.,Banking,52.78041505,8.587325172,0.752346471,0.656511975,2.051006144,6.300753208,0.872619199,-7.967772978,-23.3218847,9.942221579,245.7307491
Relaxo Footwears Ltd.,Banking,5.986052498,14.03968313,6.939644479,13.08373224,28.37469363,30.29371668,1.885360595,30.40221014,15.59924263,21.04721209,36.51098901
Sterlite Technologies Ltd.,FMCG,25.71075402,20.67028301,7.02416852,2.906654709,17.58804202,7.956939784,0.413807656,69.22884967,-30.77337862,-7.908343126,38.90728477
Symphony Ltd.,FMCG,42.24759019,31.59875902,22.04174578,28.03744738,41.40910351,57.89769447,1.272015731,4.627689392,-1.281879685,18.51979972,28.25378127
Symphony Ltd.,FMCG,73.87840673,35.24844208,26.56627311,26.20783383,37.88685838,52.88305097,0.986507732,5.380138674,-15.27496632,-5.489154147,28.25378127
Titan Company Ltd.,FMCG,28.95613146,8.918286617,5.981598618,9.726046993,20.53124739,26.76675991,1.62599459,4.689626862,-5.351280616,-17.2653078,36.15702479
TTK Prestige Ltd.,FMCG,27.17979434,12.65829281,7.41779038,19.44903654,30.44716665,41.45800929,2.62194475,3.99933294,425.5507353,645.1845479,35.25014972
VST Industries Ltd.,FMCG,70.59744423,12.48675832,7.421846333,18.9231193,43.02094217,63.66330801,2.549651186,15.07514872,5.619907436,-1.17481057,77.78875239
VST Tillers Tractors Ltd.,FMCG,17.48106245,19.34260708,11.43919865,14.74489967,18.94904688,28.83457652,1.288980123,2.121173394,17.23596794,11.74028174,21.25294712
Whirlpool Of India Ltd.,FMCG,0,9.679034346,5.293628546,11.70779753,23.20816024,34.91860223,2.211677194,5.627426401,4.437366058,18.83817715,74.29507263
WPIL Ltd.,FMCG,193.4890967,8.043873195,-0.53465936,-0.606412732,-1.608783883,7.058190884,1.134203901,3.74676116,51.32111886,-11.22394183,18.3566879
